2019-07-21 15:14:44 install libdb5.3:armhf <none> 5.3.28+dfsg1-0.5
2019-07-21 15:14:44 status half-installed libdb5.3:armhf 5.3.28+dfsg1-0.5
2019-07-21 15:14:45 status unpacked libdb5.3:armhf 5.3.28+dfsg1-0.5
2019-07-21 15:14:45 upgrade debconf:all 1.5.71 1.5.71
2019-07-21 15:14:45 status half-configured debconf:all 1.5.71
2019-07-21 15:14:45 status unpacked debconf:all 1.5.71
2019-07-21 15:14:45 status half-installed debconf:all 1.5.71
2019-07-21 15:14:45 status unpacked debconf:all 1.5.71
2019-07-21 15:14:46 install debian-archive-keyring:all <none> 2019.1
2019-07-21 15:14:46 status half-installed debian-archive-keyring:all 2019.1
2019-07-21 15:14:46 status unpacked debian-archive-keyring:all 2019.1
2019-07-21 15:14:46 install debianutils:armhf <none> 4.8.6.1
2019-07-21 15:14:46 status half-installed debianutils:armhf 4.8.6.1
2019-07-21 15:14:46 status unpacked debianutils:armhf 4.8.6.1
2019-07-21 15:14:47 install diffutils:armhf <none> 1:3.7-3
2019-07-21 15:14:47 status half-installed diffutils:armhf 1:3.7-3
2019-07-21 15:14:47 status unpacked diffutils:armhf 1:3.7-3
2019-07-21 15:14:47 upgrade dpkg:armhf 1.19.7 1.19.7
2019-07-21 15:14:47 status half-configured dpkg:armhf 1.19.7
2019-07-21 15:14:47 status unpacked dpkg:armhf 1.19.7
2019-07-21 15:14:47 status half-installed dpkg:armhf 1.19.7
2019-07-21 15:14:47 status unpacked dpkg:armhf 1.19.7
2019-07-21 15:14:48 install e2fsprogs:armhf <none> 1.44.5-1
2019-07-21 15:14:48 status half-installed e2fsprogs:armhf 1.44.5-1
2019-07-21 15:14:48 status unpacked e2fsprogs:armhf 1.44.5-1
2019-07-21 15:14:48 install libcom-err2:armhf <none> 1.44.5-1
2019-07-21 15:14:48 status half-installed libcom-err2:armhf 1.44.5-1
2019-07-21 15:14:48 status unpacked libcom-err2:armhf 1.44.5-1
2019-07-21 15:14:48 install libext2fs2:armhf <none> 1.44.5-1
2019-07-21 15:14:48 status half-installed libext2fs2:armhf 1.44.5-1
2019-07-21 15:14:48 status unpacked libext2fs2:armhf 1.44.5-1
2019-07-21 15:14:48 install libss2:armhf <none> 1.44.5-1
2019-07-21 15:14:48 status half-installed libss2:armhf 1.44.5-1
2019-07-21 15:14:48 status unpacked libss2:armhf 1.44.5-1
2019-07-21 15:14:49 install findutils:armhf <none> 4.6.0+git+20190209-2
2019-07-21 15:14:49 status half-installed findutils:armhf 4.6.0+git+20190209-2
2019-07-21 15:14:49 status unpacked findutils:armhf 4.6.0+git+20190209-2
2019-07-21 15:14:49 install gcc-8-base:armhf <none> 8.3.0-6
2019-07-21 15:14:49 status half-installed gcc-8-base:armhf 8.3.0-6
2019-07-21 15:14:49 status unpacked gcc-8-base:armhf 8.3.0-6
2019-07-21 15:14:49 install libgcc1:armhf <none> 1:8.3.0-6
2019-07-21 15:14:49 status half-installed libgcc1:armhf 1:8.3.0-6
2019-07-21 15:14:49 status unpacked libgcc1:armhf 1:8.3.0-6
2019-07-21 15:14:49 install libstdc++6:armhf <none> 8.3.0-6
2019-07-21 15:14:49 status half-installed libstdc++6:armhf 8.3.0-6
2019-07-21 15:14:50 status unpacked libstdc++6:armhf 8.3.0-6
2019-07-21 15:14:50 install libc-bin:armhf <none> 2.28-10
2019-07-21 15:14:50 status half-installed libc-bin:armhf 2.28-10
2019-07-21 15:14:50 status unpacked libc-bin:armhf 2.28-10
2019-07-21 15:14:50 upgrade libc6:armhf 2.28-10 2.28-10
2019-07-21 15:14:50 status half-configured libc6:armhf 2.28-10
2019-07-21 15:14:50 status unpacked libc6:armhf 2.28-10
2019-07-21 15:14:50 status half-installed libc6:armhf 2.28-10
2019-07-21 15:14:53 status unpacked libc6:armhf 2.28-10
2019-07-21 15:14:53 install libgmp10:armhf <none> 2:6.1.2+dfsg-4
2019-07-21 15:14:53 status half-installed libgmp10:armhf 2:6.1.2+dfsg-4
2019-07-21 15:14:54 status unpacked libgmp10:armhf 2:6.1.2+dfsg-4
2019-07-21 15:14:54 install gpgv:armhf <none> 2.2.12-1
2019-07-21 15:14:54 status half-installed gpgv:armhf 2.2.12-1
2019-07-21 15:14:54 status unpacked gpgv:armhf 2.2.12-1
2019-07-21 15:14:54 install libgnutls30:armhf <none> 3.6.7-4
2019-07-21 15:14:54 status half-installed libgnutls30:armhf 3.6.7-4
2019-07-21 15:14:54 status unpacked libgnutls30:armhf 3.6.7-4
2019-07-21 15:14:54 install grep:armhf <none> 3.3-1
2019-07-21 15:14:54 status half-installed grep:armhf 3.3-1
2019-07-21 15:14:55 status unpacked grep:armhf 3.3-1
2019-07-21 15:14:55 install gzip:armhf <none> 1.9-3
